accuracy,accuracy_mean,accuracy_stderr,benchmark,method,model,num_complete_seed_runs,num_problems,num_seed_runs,partial,source_file
43.9,,,humaneval_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
27.4,,,humaneval_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
23.2,,,humaneval_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
45.7,,,humaneval_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
43.9,,,humaneval_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
,42.4,1.52,humaneval_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,2,164,3,True,results/paper_qwen14b_humaneval_full/results_from_progress.json
,23.5,1.52,humaneval_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,2,164,3,True,results/paper_qwen14b_humaneval_full/results_from_progress.json
,23.8,1.22,humaneval_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,2,164,3,True,results/paper_qwen14b_humaneval_full/results_from_progress.json
,43.6,1.52,humaneval_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,2,164,3,True,results/paper_qwen14b_humaneval_full/results_from_progress.json
,42.4,1.52,humaneval_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,2,164,3,True,results/paper_qwen14b_humaneval_full/results_from_progress.json
,75.1,0.26,mbpp_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,70.5,0.38,mbpp_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,71.6,0.32,mbpp_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,80.3,0.18,mbpp_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
