accuracy,accuracy_mean,accuracy_stderr,benchmark,method,model,num_complete_seed_runs,num_problems,num_seed_runs,partial,source_file
43.9,,,humaneval_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
27.4,,,humaneval_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
23.2,,,humaneval_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
45.7,,,humaneval_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
43.9,,,humaneval_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,1,164,1,False,results/paper_qwen14b_humaneval_full/results.json
,75.1,0.26,mbpp_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,70.5,0.38,mbpp_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,71.6,0.32,mbpp_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,80.3,0.18,mbpp_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,75.2,0.35,mbpp_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
82.9,,,humaneval_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
44.5,,,humaneval_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
29.9,,,humaneval_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
84.8,,,humaneval_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
