accuracy,accuracy_mean,accuracy_stderr,benchmark,method,model,num_complete_seed_runs,num_problems,num_seed_runs,partial,source_file
,75.1,0.26,mbpp_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,0,False,results/paper_qwen14b_mbpp_full/results.json
,70.5,0.38,mbpp_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,0,False,results/paper_qwen14b_mbpp_full/results.json
,71.6,0.32,mbpp_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,0,False,results/paper_qwen14b_mbpp_full/results.json
,80.3,0.18,mbpp_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,0,False,results/paper_qwen14b_mbpp_full/results.json
,75.2,0.35,mbpp_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,0,False,results/paper_qwen14b_mbpp_full/results.json
,75.1,0.26,mbpp_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,70.5,0.38,mbpp_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,71.6,0.32,mbpp_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,80.3,0.18,mbpp_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,75.2,0.35,mbpp_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
,64.4,1.63,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,378,0,False,results/paper_r1_32b_mbpp_full/results.json
,31.0,0.31,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,378,0,False,results/paper_r1_32b_mbpp_full/results.json
,30.8,0.32,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,378,0,False,results/paper_r1_32b_mbpp_full/results.json
,66.8,1.23,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,378,0,False,results/paper_r1_32b_mbpp_full/results.json
,64.6,1.5,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,378,0,False,results/paper_r1_32b_mbpp_full/results.json
,64.4,1.63,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,31.0,0.31,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,30.8,0.32,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,66.8,1.23,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,64.6,1.5,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
8.0,,,livecodebench_v6,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_livecodebench_100/results.json
3.0,,,livecodebench_v6,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_livecodebench_100/results.json
3.0,,,livecodebench_v6,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_livecodebench_100/results.json
8.0,,,livecodebench_v6,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_livecodebench_100/results.json
,33.7,1.67,math500,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_math100/results.json
,11.7,2.33,math500,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_math100/results.json
,23.0,2.08,math500,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_math100/results.json
,33.7,1.67,math500,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,100,0,False,results/paper_r1_7b_math100/results.json
,33.8,1.04,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,0,False,results/paper_r1_7b_mbpp_full/results.json
,11.2,0.35,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,0,False,results/paper_r1_7b_mbpp_full/results.json
,10.8,0.23,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,0,False,results/paper_r1_7b_mbpp_full/results.json
,34.8,1.28,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,0,False,results/paper_r1_7b_mbpp_full/results.json
,33.8,1.04,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,0,False,results/paper_r1_7b_mbpp_full/results.json
,33.8,1.04,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,11.2,0.35,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,10.8,0.23,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,34.8,1.28,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,33.8,1.04,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
